id,species_name_id,common_name_id,type_id,family_id,subfamily_id,genus_id,genome_type_id,gram_stain_group_id,genome_length_bp
,142,132,2,2,2,2,6,2,12000000
,132,122,3,3,3,3,6,2,385000000
,152,142,4,4,4,4,4,2,9719
,2,22,1,1,3,1,6,1,4000000
,12,32,1,6,6,6,7,4,0
,22,42,1,6,6,6,7,4,0
,32,52,1,6,6,6,7,4,0
,42,52,1,6,6,6,7,4,0
,52,62,1,6,6,6,7,4,0
,62,52,1,6,6,6,7,4,0
,72,72,1,6,6,6,7,4,0
,82,82,1,6,6,6,7,4,0
,92,52,1,6,6,6,7,4,0
,102,62,1,6,6,6,7,4,0
,112,92,1,6,6,6,7,4,0
,12,102,5,6,6,6,7,4,0
,122,112,5,6,6,6,7,4,0
,162,152,4,6,6,6,7,4,0
,172,162,4,6,6,6,7,4,0
,182,172,4,6,6,6,7,4,0
,192,172,4,6,6,6,7,4,0
,202,172,4,6,6,6,7,4,0
,212,182,4,6,6,6,7,4,0
,222,192,4,6,6,6,7,4,0
,232,202,4,6,6,6,7,4,0
,242,202,4,6,6,6,7,4,0
,252,202,4,6,6,6,7,4,0
,262,212,4,6,6,6,7,4,0
,272,212,4,6,6,6,7,4,0
,282,222,4,6,6,6,7,4,0
,292,222,4,6,6,6,7,4,0
,302,232,4,6,6,6,7,4,0
,312,212,4,6,6,6,7,4,0
,322,212,4,6,6,6,7,4,0
,332,212,4,6,6,6,7,4,0
,342,212,4,6,6,6,7,4,0
